industry,label,ind_level
00,"All NAICS Sectors",A
000,"All NAICS Subsectors",A
0000,"All NAICS Industry Groups",A
11,"Agriculture, Forestry, Fishing and Hunting",2
111,"Crop Production",3
1111,"Oilseed and Grain Farming",4
1112,"Vegetable and Melon Farming",4
...,,
2382,"Building Equipment Contractors",4
2383,"Building Finishing Contractors",4
2389,"Other Specialty Trade Contractors",4
31-33,"Manufacturing",2
311,"Food Manufacturing",3
3111,"Animal Food Manufacturing",4
3112,"Grain and Oilseed Milling",4
3113,"Sugar and Confectionery Product Manufacturing",4
...,,
